Country,Population (2020),Yearly Change,Net Change,Density (P/Km?ý),Land Area (Km?ý),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,latitude,longitude,links,Currency,Capital City,Official Language,popup_text,,
Indonesia,274021604,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%,-0.789275,113.921327,https://en.wikipedia.org/wiki/Indonesia,Indonesian rupiah (Rp) (IDR),Jakarta,Indonesian,"<center></br><b>Indonesia</b></br><b>Population(2020): 274,021,604</br><b>Capital City: Jakarta</br><b>Official language: Indonesian</br><b>Currency: Indonesian rupiah (Rp)(IDR)</br><a href='https://en.wikipedia.org/wiki/Indonesia' target='_blank'>More info...</a></center>",,
Iran,84176929,1.30%,1079043,52,1628550,-55000,2.2,32,76%,1.08%,32.427908,53.688046,https://en.wikipedia.org/wiki/Iran,Iranian rial (????) (IRR),Tehran,Persian,"<center></br><b>Iran</b></br><b>Population(2020): 84,176,929</br><b>Capital City: Tehran</br><b>Official language: Persian</br><b>Currency: Iranian rial (????) (IRR)</br><a href='https://en.wikipedia.org/wiki/Iran' target='_blank'>More info...</a></center>",,
Iraq,40372771,2.32%,912710,93,434320,7834,3.7,21,73%,0.52%,33.223191,43.679291,https://en.wikipedia.org/wiki/Iraq,Iraqi dinar (IQD),Baghdad,Arabic & Kurdish,"<center></br><b>Iraq</b></br><b>Population(2020): 40,372,771</br><b>Capital City: Baghdad</br><b>Official language: Arabic & Kurdish</br><b>Currency: Iraqi dinar (IQD)",</br><a href='https://en.wikipedia.org/wiki/Iraq' target='_blank'>More info...</a></center>,
Italy,60446035,-0.15%,-88249,206,294140,148943,1.3,47,69%,0.78%,41.87194,12.56738,https://en.wikipedia.org/wiki/Italy,Euro (€)b (EUR),Rome,Italian,"<center></br><b>Italy</b></br><b>Population(2020): 60,446,035</br><b>Capital City: Rome</br><b>Official language: Italian</br><b>Currency: Euro (€)b (EUR)</br><a href='https://en.wikipedia.org/wiki/Italy' target='_blank'>More info...</a></center>",,
Japan,126407422,-0.30%,-383840,347,364555,71560,1.4,48,92%,1.62%,36.204824,138.252924,https://en.wikipedia.org/wiki/Japan,Japanese yen (¥),Tokyo,Japanese,"<center></br><b>Japan</b></br><b>Population(2020): 126,407,422</br><b>Capital City: Tokyo</br><b>Official language: Japanese</br><b>Currency: Japanese yen (¥)</br><a href='https://en.wikipedia.org/wiki/Japan' target='_blank'>More info...</a></center>",,
Kazakhstan,18815231,1.21%,225280,7,2699700,-18000,2.8,31,58%,0.24%,48.019573,66.923684,https://en.wikipedia.org/wiki/Kazakhstan,Tenge (?) (KZT),Nur-Sultan,Kazakh,"<center></br><b>Kazakhstan</b></br><b>Population(2020): 18,815,231</br><b>Capital City: Nur-Sultan</br><b>Official language: Kazakh</br><b>Currency: Tenge (?) (KZT)</br><a href='https://en.wikipedia.org/wiki/Kazakhstan' target='_blank'>More info...</a></center>",,
Kenya,53968739,2.28%,1197323,94,569140,-10000,3.5,20,28%,0.69%,-0.023559,37.906193,https://en.wikipedia.org/wiki/Kenya,Kenyan shilling (KES),Nairobi,English & Swahili,"<center></br><b>Kenya</b></br><b>Population(2020): 53,968,739</br><b>Capital City: Nairobi</br><b>Official language: English & Swahili</br><b>Currency: Kenyan shilling (KES)</br><a href='https://en.wikipedia.org/wiki/Kenya' target='_blank'>More info...</a></center>",,
Madagascar,27808395,2.68%,721711,48,581795,-1500,4.1,20,39%,0.36%,-18.766947,46.869107,https://en.wikipedia.org/wiki/Madagascar,Ariary (MGA),Antananarivo,Malagasy & French,"<center></br><b>Madagascar</b></br><b>Population(2020): 27,808,395 </br><b>Capital City: Antananarivo</br><b>Official language: Malagasy & French</br><b>Currency: Ariary (MGA)</br><a href='https://en.wikipedia.org/wiki/Madagascar' target='_blank'>More info...</a></center>",,
Malawi,19211425,2.69%,501205,203,94280,-16053,4.3,18,18%,0.25%,-13.254308,34.301525,https://en.wikipedia.org/wiki/Malawi,Malawian kwacha (D) (MWK),Lilongwe,English & Chewa,"<center></br><b>Malawi</b></br><b>Population(2020): 19,211,425</br><b>Capital City: Lilongwe</br><b>Official language: English & Chewa</br><b>Currency: Malawian kwacha (D) (MWK)</br><a href='https://en.wikipedia.org/wiki/Malawi' target='_blank'>More info...</a></center>",,
Malaysia,32436963,1.30%,416222,99,328550,50000,2,30,78%,0.42%,4.210484,101.975766,https://en.wikipedia.org/wiki/Malaysia,Ringgit (RM) (MYR),"Putrajaya(administrative), Kuala Lumpur(executive and legislative)",Malaysian,"<center></br><b>Malaysia</b></br><b>Population(2020): 32,436,963</br><b>Capital City: Putrajaya(administrative), Kuala Lumpur(executive and legislative)</br><b>Official language: Malaysian</br><b>Currency: Ringgit (RM) (MYR)</br><a href='",https://en.wikipedia.org/wiki/Malaysia' target='_blank'>More info...</a></center>,
Mexico,129166028,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%,23.634501,-102.552784,https://en.wikipedia.org/wiki/Mexico,Mexican peso (MXN),Mexico City,None at federal level,"<center></br><b>Mexico</b></br><b>Population(2020): 129,166,028</br><b>Capital City: Mexico City</br><b>Official language: None at federal level</br><b>Currency: Mexican peso (MXN)</br><a href='https://en.wikipedia.org/wiki/Mexico' target='_blank'>More info...</a></center>",,
Myanmar,54473253,0.67%,364380,83,653290,-163313,2.2,29,31%,0.70%,21.913965,95.956223,https://en.wikipedia.org/wiki/Myanmar,Kyat (K) (MMK),Naypyidaw,Burmese,"<center></br><b>Myanmar</b></br><b>Population(2020): 54,473,253</br><b>Capital City: Naypyidaw</br><b>Official language: Burmese</br><b>Currency: Kyat (K) (MMK)</br><a href='https://en.wikipedia.org/wiki/Myanmar' target='_blank'>More info...</a></center>",,
Nepal,29225196,1.85%,528098,203,143350,41710,1.9,25,21%,0.37%,28.394857,84.124008,https://en.wikipedia.org/wiki/Nepal,"Nepalese rupee (Rs, ??) (NPR)",Kathmandu,Nepali,"<center></br><b>Nepal</b></br><b>Population(2020): 29,225,196</br><b>Capital City: Kathmandu</br><b>Official language: Nepali</br><b>Currency: Nepalese rupee (Rs, ??) (NPR)</br><a href='https://en.wikipedia.org/wiki/Nepal' target='_blank'>More info...</a></center>",,
Nigeria,206984347,2.58%,5175990,226,910770,-60000,5.4,18,52%,2.64%,9.081999,8.675277,https://en.wikipedia.org/wiki/Nigeria,Naira (?) (NGN),Abuja,English,"<center></br><b>Nigeria</b></br><b>Population(2020): 206,984,347</br><b>Capital City: Abuja</br><b>Official language: English</br><b>Currency: Naira (?) (NGN)</br><a href='https://en.wikipedia.org/wiki/Nigeria' target='_blank'>More info...</a></center>",,
North Korea,25798588,0.44%,112655,214,120410,-5403,1.9,35,63%,0.33%,40.339852,127.510093,https://en.wikipedia.org/wiki/North_Korea,Korean People's won (?) (KPW),Pyongyang,Korean,"<center></br><b>North Korea</b></br><b>Population(2020): 25,798,588</br><b>Capital City: Pyongyang</br><b>Official language: Korean</br><b>Currency: Korean People's won (?) (KPW)</br><a href='https://en.wikipedia.org/wiki/North_Korea' target='_blank'>More info...</a></center>",,
Pakistan,221612785,2.00%,4327022,287,770880,-233379,3.6,23,35%,2.83%,30.375321,69.345116,https://en.wikipedia.org/wiki/Pakistan,Pakistani rupee (?) (PKR),Islamabad,Urdu & English,"<center></br><b>Pakistan</b></br><b>Population(2020): 221,612,785</br><b>Capital City: Islamabad</br><b>Official language: Urdu & English</br><b>Currency: Pakistani rupee (?) (PKR)</br><a href='https://en.wikipedia.org/wiki/Pakistan' target='_blank'>More info...</a></center>",,
Peru,33050211,1.42%,461401,26,1280000,99069,2.3,31,79%,0.42%,-9.189967,-75.015152,https://en.wikipedia.org/wiki/Peru,Sol (PEN),Lima,Spanish,"<center></br><b>Peru</b></br><b>Population(2020): 33,050,211</br><b>Capital City: Lima</br><b>Official language: Spanish</br><b>Currency: Sol (PEN)</br><a href='https://en.wikipedia.org/wiki/Peru' target='_blank'>More info...</a></center>",,
Philippines,109830324,1.35%,1464463,368,298170,-67152,2.6,26,47%,1.41%,12.879721,121.774017,https://en.wikipedia.org/wiki/Philippines,Philippine peso (?) (PHP),"Manila(de jure), Metro Manila(de facto)",Filipino & English,"<center></br><b>Philippines</b></br><b>Population(2020): 109,830,324</br><b>Capital City: Manila(de jure), Metro Manila(de facto)</br><b>Official language: Filipino & English</br><b>Currency: Philippine peso (?) (PHP)</br><a href='https://en.wikipedia.org/wiki/Philippines' target='_blank'>More info...</a></center>",,
Poland,37839255,-0.11%,-41157,124,306230,-29395,1.4,42,60%,0.49%,51.919438,19.145136,https://en.wikipedia.org/wiki/Poland,Z?oty (PLN),Warsaw,Polish,"<center></br><b>Poland</b></br><b>Population(2020): 37,839,255</br><b>Capital City: Warsaw</br><b>Official language: Polish</br><b>Currency: Z?oty (PLN)</br><a href='https://en.wikipedia.org/wiki/Poland' target='_blank'>More info...</a></center>",,
Romania,19214608,-0.66%,-126866,84,230170,-73999,1.6,43,55%,0.25%,45.943161,24.96676,https://en.wikipedia.org/wiki/Romania,Romanian leu (RON),Bucharest,Romanian,"<center></br><b>Romania</b></br><b>Population(2020): 19,214,608</br><b>Capital City: Bucharest</br><b>Official language: Romanian</br><b>Currency: Romanian leu (RON)</br><a href='https://en.wikipedia.org/wiki/Romania' target='_blank'>More info...</a></center>",,
Russia,145945524,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%,61.52401,105.318756,https://en.wikipedia.org/wiki/Russia,Russian ruble (?) (RUB),Moscow,Russian,"<center></br><b>Russia</b></br><b>Population(2020): 145,945,524</br><b>Capital City: Moscow</br><b>Official language: Russian</br><b>Currency: Russian ruble (?) (RUB)</br><a href='https://en.wikipedia.org/wiki/Russia' target='_blank'>More info...</a></center>",,
Saudi Arabia,34905942,1.59%,545343,16,2149690,134979,2.3,32,84%,0.45%,23.885942,45.079162,https://en.wikipedia.org/wiki/Saudi_Arabia,Saudi Riyal (SR) (SAR),Riyadh,Arabic,"<center></br><b>Saudi Arabia</b></br><b>Population(2020): 34,905,942</br><b>Capital City: Riyadh</br><b>Official language: Arabic</br><b>Currency: Saudi Riyal (SR) (SAR)</br><a href='",https://en.wikipedia.org/wiki/Saudi_Arabia' target='_blank'>More info...</a></center>,
South Africa,59436725,1.28%,750420,49,1213090,145405,2.4,28,67%,0.76%,-30.559482,22.937506,https://en.wikipedia.org/wiki/South_Africa,South African rand (ZAR),"Pretoria(executive), Cape Town(legislative), Bloemfontein(judicial)","English, Zulu, Swazi, Afrikaans, Sepedi, Sesotho, Setswana, Xitsonga, Xhosa, Tshivenda & isiNdebele","<center></br><b>South Africa</b></br><b>Population(2020): 59,436,725</br><b>Capital City: Pretoria(executive), Cape Town(legislative), Bloemfontein(judicial)</br><b>Official language: English, Zulu, Swazi, Afrikaans, Sepedi, Sesotho, Setswana, Xitsonga, Xhosa, Tshivenda & isiNdebele</br><b>Currency: South African rand (ZAR)</br><a href='https://en.wikipedia.org/wiki/South_Africa' target='_blank'>More info...</a></center>",,
South Korea,51276977,0.09%,43877,527,97230,11731,1.1,44,82%,0.66%,35.907757,127.766922,https://en.wikipedia.org/wiki/South_Korea,Korean Republic won (?) (KRW),Seoul,"Korean (Pyojuneo), Korean Sign Language","<center></br><b>South Korea</b></br><b>Population(2020): 51,276,977</br><b>Capital City: Seoul</br><b>Official language: Korean (Pyojuneo), Korean Sign Language</br><b>Currency: Korean Republic won (?) (KRW)",</br><a href=',https://en.wikipedia.org/wiki/South_Korea' target='_blank'>More info...</a></center>
Spain,46757980,0.04%,18002,94,498800,40000,1.3,45,80%,0.60%,40.463667,-3.74922,https://en.wikipedia.org/wiki/Spain,Euro[f] (€) (EUR),Madrid,Spanish,"<center></br><b>Spain</b></br><b>Population(2020): 46,757,980</br><b>Capital City: Madrid</br><b>Official language: Spanish</br><b>Currency: Euro[f] (€) (EUR)</br><a href='https://en.wikipedia.org/wiki/Spain' target='_blank'>More info...</a></center>",,
Sri Lanka,21428970,0.42%,89516,341,62710,-97986,2.2,34,18%,0.27%,7.873054,80.771797,https://en.wikipedia.org/wiki/Sri_Lanka,Sri Lankan rupee (Rs) (LKR),"Sri Jayawardenepura Kotte(legislative), Colombo(executive and juducial)","Sinhala, Tamil","<center></br><b>Sri Lanka</b></br><b>Population(2020): 21,428,970</br><b>Capital City: Sri Jayawardenepura Kotte(legislative), Colombo(executive and juducial)</br><b>Official language: Sinhala, Tamil",</br><b>Currency: Sri Lankan rupee (Rs) (LKR)</br><a href='https://en.wikipedia.org/wiki/Sri_Lanka' target='_blank'>More info...</a></center>,
Sudan,44019263,2.42%,1036022,25,1765048,-50000,4.4,20,35%,0.56%,12.862807,30.217636,https://en.wikipedia.org/wiki/Sudan,Sudanese pound (SDG),Khartoum,Arabic & English,"<center></br><b>Sudan</b></br><b>Population(2020): 44,019,263</br><b>Capital City: Khartoum</br><b>Official language: Arabic & English</br><b>Currency: Sudanese pound (SDG)</br><a href='https://en.wikipedia.org/wiki/Sudan' target='_blank'>More info...</a></center>",,
Syria,17571053,2.52%,430523,95,183630,-427391,2.8,26,60%,0.22%,34.802075,38.996815,https://en.wikipedia.org/wiki/Syria,Syrian pound (SYP),Damascus,Arabic ,"<center></br><b>Syria</b></br><b>Population(2020): 17,571,053</br><b>Capital City: Damascus</br><b>Official language: Arabic </br><b>Currency: Syrian pound (SYP)</br><a href='https://en.wikipedia.org/wiki/Syria' target='_blank'>More info...</a></center>",,
Taiwan,23824369,0.18%,42899,673,35410,30001,1.2,42,79%,0.31%,23.69781,120.960515,https://en.wikipedia.org/wiki/Taiwan,New Taiwan dollar (NT$) (TWD),Taipei,Standard Chinese,"<center></br><b>Taiwan</b></br><b>Population(2020): 23,824,369</br><b>Capital City: Taipei</br><b>Official language: Standard Chinese</br><b>Currency: New Taiwan dollar (NT$) (TWD)</br><a href='https://en.wikipedia.org/wiki/Taiwan' target='_blank'>More info...</a></center>",,
Thailand,69830779,0.25%,174396,137,510890,19444,1.5,40,51%,0.90%,15.870032,100.992541,https://en.wikipedia.org/wiki/Thailand,Baht (?) (THB),Bangkok,Thai,"<center></br><b>Thailand</b></br><b>Population(2020): 69,830,779</br><b>Capital City: Bangkok</br><b>Official language: Thai</br><b>Currency: Baht (?) (THB)</br><a href='https://en.wikipedia.org/wiki/Thailand' target='_blank'>More info...</a></center>",,
Turkey,84495243,1.09%,909452,110,769630,283922,2.1,32,76%,1.08%,38.963745,35.243322,https://en.wikipedia.org/wiki/Turkey,Turkish lira (?) (TRY),Ankara,Turkish,"<center></br><b>Turkey</b></br><b>Population(2020): 84,495,243</br><b>Capital City: Ankara</br><b>Official language: Turkish</br><b>Currency: Turkish lira (?) (TRY)</br><a href='https://en.wikipedia.org/wiki/Turkey' target='_blank'>More info...</a></center>",,
Ukraine,43686577,-0.59%,-259876,75,579320,10000,1.4,41,69%,0.56%,48.379433,31.16558,https://en.wikipedia.org/wiki/Ukraine,Hryvnia (?) (UAH),Kyiv,Ukrainian,"<center></br><b>Ukraine</b></br><b>Population(2020): 43,686,577</br><b>Capital City: Kyiv</br><b>Official language: Ukrainian</br><b>Currency: Hryvnia (?) (UAH)</br><a href='https://en.wikipedia.org/wiki/Ukraine' target='_blank'>More info...</a></center>",,
United Kingdom,67948282,0.53%,355839,281,241930,260650,1.8,40,83%,0.87%,55.378051,-3.435973,https://en.wikipedia.org/wiki/United_Kingdom,Pound sterling (GBP),London,English,"<center></br><b>United Kingdom</b></br><b>Population(2020): 67,948,282</br><b>Capital City: London</br><b>Official language: English</br><b>Currency: Pound sterling (GBP)</br><a href='https://en.wikipedia.org/wiki/United_Kingdom' target='_blank'>More info...</a></center>",,
United States,331341050,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%,37.09024,-95.712891,https://en.wikipedia.org/wiki/United_State,U.S. dollar ($) (USD),"Washington, D.C",None at federal level,"<center></br><b>United States</b></br><b>Population(2020): 331,341,050</br><b>Capital City: Washington, D.C</br><b>Official language: None at federal level</br><b>Currency: U.S. dollar ($) (USD)</br><a href='https://en.wikipedia.org/wiki/United_State' target='_blank'>More info...</a></center>",,
Uzbekistan,33551824,1.48%,487487,79,425400,-8863,2.4,28,50%,0.43%,41.377491,64.585262,https://en.wikipedia.org/wiki/Uzbekistan,Uzbek som (UZS),Tashkent,Uzbek,"<center></br><b>Uzbekistan</b></br><b>Population(2020): 33,551,824</br><b>Capital City: Tashkent</br><b>Official language: Uzbek</br><b>Currency: Uzbek som (UZS)</br><a href='https://en.wikipedia.org/wiki/Uzbekistan' target='_blank'>More info...</a></center>",,
Vietnam,97490013,0.91%,876473,314,310070,-80000,2.1,32,38%,1.25%,14.058324,108.277199,https://en.wikipedia.org/wiki/Vietnam,??ng (?) (VND),Hanoi,Vietnamese,"<center></br><b>Vietnam</b></br><b>Population(2020): 97,490,013</br><b>Capital City: Hanoi</br><b>Official language: Vietnamese</br><b>Currency: ??ng (?) (VND)</br><a href='https://en.wikipedia.org/wiki/Vietnam' target='_blank'>More info...</a></center>",,
Zambia,18468257,2.93%,522925,25,743390,-8000,4.7,18,45%,0.24%,-13.133897,27.849332,https://en.wikipedia.org/wiki/Zambia,Zambian kwacha (ZMW),Lusaka,English,"<center></br><b>Zambia</b></br><b>Population(2020): 18,468,257</br><b>Capital City: Lusaka</br><b>Official language: English</br><b>Currency: Zambian kwacha (ZMW)</br><a href='https://en.wikipedia.org/wiki/Zambia' target='_blank'>More info...</a></center>",,


