Country,year,migrants ,,,
Sri Lanka,2010,38959,,,
Sri Lanka,2015,39706,,,
Sri Lanka,2019,40018,,,
Romania,2000,134254,,,
Romania,2005,145162,,,
Romania,2010,177211,,,
Romania,2015,281048,,,
Romania,2019,462552,,,
Malawi,2000,232620,,,
Malawi,2005,221661,,,
Malawi,2010,217722,,,
Malawi,2015,232803,,,
Malawi,2019,247652,,,
Kazakhstan,2000,2874194,,,
Kazakhstan,2005,3103027,,,
Kazakhstan,2010,3334937,,,
Kazakhstan,2015,3546060,,,
Kazakhstan,2019,3705556,,,
Zambia,2000,343703,,,
Zambia,2005,252895,,,
Zambia,2010,149962,,,
Zambia,2015,132107,,,
Zambia,2019,170249,,,
Syria,2000,834916,,,
Syria,2005,878308,,, 
Syria,2010,1787561,,,
Syria,2015,871174,,,
Syria,2019,867848,,,

